host_time_iso,elapsed_s,firmware,board_id,sequence,average,temperature_c,bx_mt,by_mt,bz_mt,status_hex,raw_line
2026-07-16T01:10:00.973,21602.328,0.5.2-alpha1a,4,30588,10,27.6600,-0.0900,-0.2200,0.1700,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30588,AVG=10,CAL=DEFAULT,T=27.66,BX=-0.09,BY=-0.22,BZ=0.17,STATUS=0xD1"
2026-07-16T01:10:02.400,21603.754,0.5.2-alpha1a,4,30589,10,28.0900,-0.0800,-0.3200,0.1200,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30589,AVG=10,CAL=DEFAULT,T=28.09,BX=-0.08,BY=-0.32,BZ=0.12,STATUS=0x11"
2026-07-16T01:10:03.654,21605.008,0.5.2-alpha1a,4,30590,10,27.8600,-0.1100,-0.3700,0.1100,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30590,AVG=10,CAL=DEFAULT,T=27.86,BX=-0.11,BY=-0.37,BZ=0.11,STATUS=0x51"
2026-07-16T01:10:05.060,21606.414,0.5.2-alpha1a,4,30591,10,27.9200,-0.0900,-0.2900,0.0900,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30591,AVG=10,CAL=DEFAULT,T=27.92,BX=-0.09,BY=-0.29,BZ=0.09,STATUS=0x91"
2026-07-16T01:10:06.465,21607.820,0.5.2-alpha1a,4,30592,10,28.0600,0.0000,-0.3300,0.1100,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30592,AVG=10,CAL=DEFAULT,T=28.06,BX=0.00,BY=-0.33,BZ=0.11,STATUS=0xD1"
2026-07-16T01:10:07.896,21609.250,0.5.2-alpha1a,4,30593,10,27.9900,-0.1500,-0.2500,0.0900,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30593,AVG=10,CAL=DEFAULT,T=27.99,BX=-0.15,BY=-0.25,BZ=0.09,STATUS=0x11"
2026-07-16T01:10:09.316,21610.671,0.5.2-alpha1a,4,30594,10,28.1400,-0.0600,-0.2800,0.0600,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30594,AVG=10,CAL=DEFAULT,T=28.14,BX=-0.06,BY=-0.28,BZ=0.06,STATUS=0x51"
2026-07-16T01:10:10.579,21611.934,0.5.2-alpha1a,4,30595,10,27.9900,-0.1200,-0.2200,0.1200,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30595,AVG=10,CAL=DEFAULT,T=27.99,BX=-0.12,BY=-0.22,BZ=0.12,STATUS=0x91"
2026-07-16T01:10:11.964,21613.318,0.5.2-alpha1a,4,30596,10,28.3100,-0.1200,-0.3000,0.0900,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30596,AVG=10,CAL=DEFAULT,T=28.31,BX=-0.12,BY=-0.30,BZ=0.09,STATUS=0xD1"
2026-07-16T01:10:13.381,21614.735,0.5.2-alpha1a,4,30597,10,28.0400,-0.1700,-0.2600,0.1200,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30597,AVG=10,CAL=DEFAULT,T=28.04,BX=-0.17,BY=-0.26,BZ=0.12,STATUS=0x11"
2026-07-16T01:10:14.805,21616.159,0.5.2-alpha1a,4,30598,10,28.0100,-0.0900,-0.3700,0.1500,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30598,AVG=10,CAL=DEFAULT,T=28.01,BX=-0.09,BY=-0.37,BZ=0.15,STATUS=0x51"
2026-07-16T01:10:16.216,21617.571,0.5.2-alpha1a,4,30599,10,28.2200,-0.1200,-0.2100,0.2000,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30599,AVG=10,CAL=DEFAULT,T=28.22,BX=-0.12,BY=-0.21,BZ=0.20,STATUS=0x91"
2026-07-16T01:10:17.637,21618.991,0.5.2-alpha1a,4,30600,10,27.7900,-0.0800,-0.3200,0.0900,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30600,AVG=10,CAL=DEFAULT,T=27.79,BX=-0.08,BY=-0.32,BZ=0.09,STATUS=0xD1"
2026-07-16T01:10:18.891,21620.246,0.5.2-alpha1a,4,30601,10,28.0600,-0.0900,-0.3000,0.1100,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30601,AVG=10,CAL=DEFAULT,T=28.06,BX=-0.09,BY=-0.30,BZ=0.11,STATUS=0x11"
2026-07-16T01:10:20.280,21621.634,0.5.2-alpha1a,4,30602,10,27.7900,-0.0700,-0.2200,0.1200,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30602,AVG=10,CAL=DEFAULT,T=27.79,BX=-0.07,BY=-0.22,BZ=0.12,STATUS=0x51"
2026-07-16T01:10:21.705,21623.060,0.5.2-alpha1a,4,30603,10,27.7200,-0.1500,-0.2900,0.0900,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30603,AVG=10,CAL=DEFAULT,T=27.72,BX=-0.15,BY=-0.29,BZ=0.09,STATUS=0x91"
2026-07-16T01:10:23.122,21624.476,0.5.2-alpha1a,4,30604,10,27.7200,-0.1300,-0.3200,0.0900,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30604,AVG=10,CAL=DEFAULT,T=27.72,BX=-0.13,BY=-0.32,BZ=0.09,STATUS=0xD1"
